symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
2367,多,突破,2026-02-04 09:00:00,58.4,2026-02-04 13:30:00,59.5,收盤平倉,1.884,1.662,54.1,54.1
2367,多,突破,2026-02-05 09:00:00,60.9,2026-02-05 09:05:00,59.7,移動停利,-1.97,-2.192,59.5,59.5
2367,多,突破,2026-02-06 11:00:00,53.7,2026-02-06 12:45:00,53.1,移動停利,-1.117,-1.339,53.6,52.0
2367,多,突破,2026-02-24 09:10:00,57.3,2026-02-24 13:30:00,61.2,收盤平倉,6.806,6.585,57.0,54.4
2367,多,突破,2026-02-25 09:00:00,65.5,2026-02-25 09:05:00,63.7,移動停利,-2.748,-2.969,61.2,61.2
2367,多,突破,2026-02-26 09:00:00,59.4,2026-02-26 12:00:00,61.8,移動停利,4.04,3.819,58.7,58.1
2367,多,突破,2026-03-02 09:10:00,65.7,2026-03-02 13:30:00,70.9,收盤平倉,7.915,7.694,64.5,60.5
2367,多,突破,2026-03-03 09:00:00,75.5,2026-03-03 09:10:00,75.7,移動停利,0.265,0.044,70.9,70.9
2367,多,突破,2026-03-04 09:00:00,73.2,2026-03-04 09:05:00,70.3,移動停利,-3.962,-4.183,72.8,72.3
2367,多,突破,2026-03-05 09:00:00,74.8,2026-03-05 09:30:00,74.0,移動停利,-1.07,-1.291,72.9,71.0
2367,多,突破,2026-03-06 10:05:00,69.9,2026-03-06 10:55:00,69.5,移動停利,-0.572,-0.793,69.9,67.4
2367,多,突破,2026-03-09 11:15:00,62.1,2026-03-09 13:30:00,62.1,收盤平倉,0.0,-0.221,62.2,62.1
2367,多,突破,2026-03-10 09:00:00,65.0,2026-03-10 09:15:00,64.0,移動停利,-1.538,-1.76,62.1,62.1
2367,多,突破,2026-03-11 09:00:00,65.3,2026-03-11 13:30:00,69.2,收盤平倉,5.972,5.751,63.1,60.5
2367,多,突破,2026-03-12 09:10:00,70.0,2026-03-12 09:55:00,72.0,移動停利,2.857,2.636,69.4,68.9
2367,多,突破,2026-03-13 09:25:00,73.0,2026-03-13 09:50:00,72.0,移動停利,-1.37,-1.591,73.0,72.9
2367,多,突破,2026-03-16 09:00:00,74.7,2026-03-16 09:10:00,73.4,移動停利,-1.74,-1.962,73.3,72.6
2367,多,突破,2026-03-17 09:00:00,75.6,2026-03-17 10:50:00,76.5,移動停利,1.19,0.969,74.0,74.0
2367,多,突破,2026-03-18 09:00:00,78.8,2026-03-18 09:15:00,77.6,移動停利,-1.523,-1.744,76.8,76.4
2367,多,突破,2026-03-19 09:00:00,78.0,2026-03-19 09:10:00,78.0,移動停利,0.0,-0.221,76.0,75.8
2367,多,突破,2026-03-20 12:35:00,73.1,2026-03-20 13:10:00,72.2,移動停利,-1.231,-1.452,72.8,71.7
2367,多,突破,2026-03-23 09:50:00,73.9,2026-03-23 10:30:00,73.7,移動停利,-0.271,-0.492,73.0,68.9
2367,多,突破,2026-03-24 09:00:00,75.0,2026-03-24 09:15:00,73.3,移動停利,-2.267,-2.488,72.2,71.2
2367,多,突破,2026-03-26 09:00:00,78.1,2026-03-26 10:00:00,80.7,移動停利,3.329,3.108,75.1,73.9
2367,多,突破,2026-03-27 09:15:00,77.9,2026-03-27 10:15:00,78.9,移動停利,1.284,1.062,77.2,74.0
2367,多,突破,2026-03-30 10:50:00,77.7,2026-03-30 11:45:00,76.5,移動停利,-1.544,-1.766,77.6,75.9
2367,多,突破,2026-03-31 09:00:00,78.7,2026-03-31 09:05:00,76.5,移動停利,-2.795,-3.017,76.6,76.2
2367,多,突破,2026-04-01 09:00:00,78.5,2026-04-01 10:05:00,77.1,移動停利,-1.783,-2.005,74.1,72.7
2367,多,突破,2026-04-02 09:00:00,77.0,2026-04-02 09:15:00,75.9,移動停利,-1.429,-1.65,76.7,74.5
2367,多,突破,2026-04-09 09:00:00,74.2,2026-04-09 11:00:00,78.3,移動停利,5.526,5.304,74.3,72.8
2367,多,突破,2026-04-10 09:00:00,78.5,2026-04-10 09:10:00,76.8,移動停利,-2.166,-2.387,77.8,76.7
2367,多,突破,2026-04-13 09:00:00,75.1,2026-04-13 11:10:00,74.7,移動停利,-0.533,-0.754,75.2,74.3
