symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
3264,空,突破,2026-02-06 09:00:00,144.0,2026-02-06 09:05:00,143.11,移動停利,0.618,0.347,149.0,147.5
3264,空,突破,2026-02-09 12:15:00,150.5,2026-02-09 13:25:00,150.5,收盤平倉,0.0,-0.271,155.0,151.0
3264,空,突破,2026-02-10 12:30:00,158.0,2026-02-10 13:25:00,159.5,收盤平倉,-0.949,-1.221,161.0,158.0
3264,空,突破,2026-02-24 10:45:00,153.0,2026-02-24 10:50:00,155.29,移動停利,-1.497,-1.768,154.5,153.0
3264,空,突破,2026-03-03 09:00:00,148.5,2026-03-03 09:05:00,149.71,移動停利,-0.815,-1.086,150.5,148.5
3264,空,突破,2026-03-04 09:15:00,137.5,2026-03-04 09:20:00,137.02,移動停利,0.349,0.078,143.5,138.0
3264,空,突破,2026-03-05 09:50:00,143.0,2026-03-05 10:50:00,142.1,移動停利,0.629,0.358,147.0,143.5
3264,空,突破,2026-03-06 09:20:00,139.5,2026-03-06 10:25:00,141.08,移動停利,-1.133,-1.404,143.5,139.5
3264,空,突破,2026-03-09 09:00:00,131.5,2026-03-09 09:05:00,132.96,移動停利,-1.11,-1.382,144.0,140.0
3264,空,突破,2026-03-10 10:50:00,143.5,2026-03-10 11:35:00,144.13,移動停利,-0.439,-0.71,146.0,143.5
3264,空,突破,2026-03-11 11:20:00,155.5,2026-03-11 13:25:00,153.5,收盤平倉,1.286,1.015,159.0,155.5
3264,空,突破,2026-03-24 09:25:00,148.5,2026-03-24 10:20:00,145.65,移動停利,1.919,1.648,151.0,148.5
3264,空,突破,2026-03-25 11:05:00,154.5,2026-03-25 12:10:00,155.29,移動停利,-0.511,-0.783,156.0,154.5
