symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
2367,空,兩者,2026-02-09 09:40:00,55.9,2026-02-09 13:25:00,53.5,收盤平倉,4.293,4.022,58.8,56.0
2367,空,兩者,2026-02-10 09:10:00,52.1,2026-02-10 10:10:00,51.7,移動停利,0.768,0.497,54.5,53.2
2367,空,兩者,2026-02-11 09:10:00,50.4,2026-02-11 09:25:00,51.2,移動停利,-1.587,-1.859,52.5,51.3
2367,空,兩者,2026-04-07 10:00:00,72.3,2026-04-07 10:15:00,73.6,移動停利,-1.798,-2.069,75.0,72.8
2367,空,兩者,2026-04-08 09:20:00,74.0,2026-04-08 13:15:00,73.3,移動停利,0.946,0.675,75.7,74.0
2367,空,兩者,2026-04-15 10:50:00,72.9,2026-04-15 13:25:00,72.5,收盤平倉,0.549,0.277,75.0,72.8
2367,空,兩者,2026-04-16 09:15:00,72.2,2026-04-16 13:25:00,70.4,收盤平倉,2.493,2.222,73.1,72.1
2367,空,兩者,2026-04-17 09:30:00,70.0,2026-04-17 13:25:00,68.6,收盤平倉,2.0,1.729,72.0,70.6
2367,空,兩者,2026-04-20 09:15:00,67.9,2026-04-20 13:25:00,65.8,收盤平倉,3.093,2.822,68.7,68.5
2367,空,兩者,2026-04-21 09:10:00,64.3,2026-04-21 09:40:00,64.6,移動停利,-0.467,-0.738,66.2,65.0
2367,空,兩者,2026-04-22 10:00:00,68.0,2026-04-22 13:25:00,67.7,收盤平倉,0.441,0.17,70.0,68.0
2367,空,兩者,2026-04-23 09:05:00,65.0,2026-04-23 13:25:00,61.2,收盤平倉,5.846,5.575,67.8,67.2
2367,空,兩者,2026-04-24 09:05:00,59.4,2026-04-24 10:55:00,56.8,移動停利,4.377,4.106,61.7,61.2
2367,空,兩者,2026-04-27 09:10:00,55.7,2026-04-27 09:30:00,57.7,移動停利,-3.591,-3.862,59.2,57.2
2367,空,兩者,2026-04-28 09:05:00,58.3,2026-04-28 09:10:00,59.2,移動停利,-1.544,-1.815,60.8,58.9
2367,空,兩者,2026-04-29 09:05:00,58.1,2026-04-29 13:25:00,57.5,收盤平倉,1.033,0.761,59.8,59.2
2367,空,兩者,2026-04-30 09:05:00,56.2,2026-04-30 09:20:00,57.6,移動停利,-2.491,-2.762,57.6,57.2
2367,空,兩者,2026-05-04 09:05:00,57.0,2026-05-04 09:25:00,57.9,移動停利,-1.579,-1.85,58.5,57.8
2367,空,兩者,2026-05-05 10:35:00,59.8,2026-05-05 12:35:00,60.7,移動停利,-1.505,-1.776,61.5,59.8
2367,空,兩者,2026-05-06 09:05:00,58.5,2026-05-06 09:10:00,59.4,移動停利,-1.538,-1.81,61.1,60.3
2367,空,兩者,2026-05-07 09:20:00,59.9,2026-05-07 10:10:00,61.2,移動停利,-2.17,-2.442,61.5,60.0
2367,空,兩者,2026-05-08 12:30:00,62.2,2026-05-08 13:25:00,61.9,收盤平倉,0.482,0.211,63.8,62.7
