symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
2337,空,兩者,2026-04-20 09:25:00,119.5,2026-04-20 09:45:00,120.5,移動停利,-0.837,-1.058,125.0,120.0
2337,空,兩者,2026-04-21 10:40:00,126.5,2026-04-21 10:55:00,129.0,移動停利,-1.976,-2.198,129.0,127.0
2337,空,兩者,2026-04-22 10:55:00,133.0,2026-04-22 13:20:00,134.5,移動停利,-1.128,-1.349,138.0,135.0
2337,空,兩者,2026-04-23 09:50:00,138.5,2026-04-23 10:15:00,133.0,移動停利,3.971,3.75,143.0,138.5
2337,空,兩者,2026-04-24 09:50:00,126.5,2026-04-24 10:40:00,126.0,移動停利,0.395,0.174,129.5,126.5
