symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
6919,多,突破,2026-02-04 09:25:00,172.5,2026-02-04 09:45:00,169.91,移動停利,-1.501,-1.773,169.5,165.5
6919,多,突破,2026-02-05 09:00:00,171.5,2026-02-05 09:20:00,168.93,移動停利,-1.499,-1.77,171.0,168.5
6919,多,突破,2026-02-06 10:10:00,168.5,2026-02-06 10:40:00,167.94,移動停利,-0.332,-0.604,168.0,162.0
6919,多,突破,2026-02-09 12:35:00,165.5,2026-02-09 13:05:00,163.51,移動停利,-1.202,-1.474,165.5,163.5
6919,多,突破,2026-04-09 09:00:00,117.5,2026-04-09 09:05:00,117.71,移動停利,0.179,-0.093,115.5,115.5
6919,多,突破,2026-04-10 09:00:00,114.0,2026-04-10 09:10:00,113.27,移動停利,-0.64,-0.912,113.5,112.0
6919,多,突破,2026-04-13 09:00:00,112.5,2026-04-13 09:05:00,111.3,移動停利,-1.067,-1.338,112.5,110.5
6919,多,突破,2026-04-14 09:05:00,108.5,2026-04-14 09:15:00,107.36,移動停利,-1.051,-1.322,106.5,102.5
6919,多,突破,2026-04-15 10:45:00,108.0,2026-04-15 11:05:00,106.38,移動停利,-1.5,-1.771,108.0,106.0
6919,多,突破,2026-04-16 09:00:00,109.5,2026-04-16 09:10:00,109.33,移動停利,-0.155,-0.427,106.5,105.5
6919,多,突破,2026-04-17 09:00:00,108.0,2026-04-17 09:10:00,106.87,移動停利,-1.046,-1.318,107.5,106.5
6919,多,突破,2026-04-20 09:00:00,112.5,2026-04-20 09:10:00,111.3,移動停利,-1.067,-1.338,107.5,106.0
6919,多,突破,2026-04-21 09:00:00,109.5,2026-04-21 09:05:00,110.81,移動停利,1.196,0.925,108.5,106.5
6919,多,突破,2026-04-22 09:25:00,113.5,2026-04-22 09:30:00,112.78,移動停利,-0.634,-0.906,111.5,109.0
6919,多,突破,2026-04-23 09:00:00,112.5,2026-04-23 09:20:00,110.81,移動停利,-1.502,-1.773,112.5,111.0
6919,多,突破,2026-04-24 09:00:00,110.0,2026-04-24 09:30:00,109.83,移動停利,-0.155,-0.426,109.5,108.0
6919,多,突破,2026-04-30 09:00:00,111.5,2026-04-30 09:05:00,115.74,移動停利,3.803,3.531,111.0,111.0
