symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
3264,多,突破,2026-02-10 09:20:00,158.5,2026-02-10 13:30:00,160.0,收盤平倉,0.946,0.725,157.5,152.5
3264,多,突破,2026-02-23 10:00:00,157.5,2026-02-23 12:30:00,153.0,移動停利,-2.857,-3.078,157.0,154.5
3264,多,突破,2026-02-26 10:40:00,159.0,2026-02-26 13:30:00,157.5,收盤平倉,-0.943,-1.165,158.0,156.0
3264,多,突破,2026-03-02 09:55:00,151.5,2026-03-02 12:15:00,150.0,移動停利,-0.99,-1.211,151.0,147.0
3264,多,突破,2026-03-18 09:55:00,164.0,2026-03-18 11:05:00,159.0,移動停利,-3.049,-3.27,162.5,159.5
3264,多,突破,2026-03-27 09:40:00,151.5,2026-03-27 13:30:00,158.0,收盤平倉,4.29,4.069,151.0,147.5
3264,多,突破,2026-04-02 11:15:00,165.5,2026-04-02 13:15:00,161.5,EXIT,-2.417,-2.638,165.0,162.0
3264,多,突破,2026-04-08 11:15:00,165.5,2026-04-08 13:30:00,164.5,收盤平倉,-0.604,-0.825,165.0,162.5
3264,多,突破,2026-04-09 10:05:00,176.5,2026-04-09 13:30:00,180.5,收盤平倉,2.266,2.045,173.5,169.0
3264,多,突破,2026-04-10 10:10:00,183.5,2026-04-10 13:30:00,189.0,收盤平倉,2.997,2.776,183.0,178.0
3264,多,突破,2026-04-13 09:00:00,194.0,2026-04-13 09:35:00,194.5,移動停利,0.258,0.036,192.0,187.5
3264,多,突破,2026-04-15 09:35:00,189.0,2026-04-15 11:05:00,191.5,移動停利,1.323,1.102,189.0,183.0
3264,多,突破,2026-04-20 10:35:00,185.5,2026-04-20 13:30:00,187.5,收盤平倉,1.078,0.857,185.5,181.5
3264,多,突破,2026-04-21 09:05:00,205.0,2026-04-21 13:30:00,206.0,收盤平倉,0.488,0.267,202.0,196.5
3264,多,突破,2026-04-22 09:20:00,213.5,2026-04-22 11:15:00,214.5,移動停利,0.468,0.247,210.5,202.5
3264,多,突破,2026-04-23 10:20:00,205.0,2026-04-23 10:30:00,199.5,移動停利,-2.683,-2.904,205.0,197.5
3264,多,突破,2026-04-24 09:05:00,205.5,2026-04-24 13:30:00,210.0,收盤平倉,2.19,1.969,205.5,201.0
3264,多,突破,2026-04-27 09:25:00,198.5,2026-04-27 09:45:00,195.0,移動停利,-1.763,-1.984,197.5,190.0
3264,多,突破,2026-04-28 09:35:00,197.0,2026-04-28 13:30:00,198.5,收盤平倉,0.761,0.54,197.0,193.0
3264,多,突破,2026-04-29 10:15:00,198.5,2026-04-29 13:30:00,199.5,收盤平倉,0.504,0.283,198.0,195.0
3264,多,突破,2026-04-30 09:50:00,198.5,2026-04-30 10:55:00,196.5,移動停利,-1.008,-1.229,198.5,193.5
3264,多,突破,2026-05-04 09:05:00,206.0,2026-05-04 13:30:00,214.5,收盤平倉,4.126,3.905,203.0,197.0
3264,多,突破,2026-05-05 09:15:00,233.5,2026-05-05 13:30:00,235.5,收盤平倉,0.857,0.635,232.5,220.0
3264,多,突破,2026-05-07 10:00:00,244.5,2026-05-07 13:30:00,248.5,收盤平倉,1.636,1.415,243.0,234.5
3264,多,突破,2026-05-12 09:30:00,232.0,2026-05-12 10:00:00,226.0,移動停利,-2.586,-2.807,230.0,225.5
