symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
2359,空,回踩,2026-02-23 11:40:00,129.5,2026-02-23 13:25:00,129.0,收盤平倉,0.386,0.115,131.0,130.0
2359,空,回踩,2026-03-09 09:30:00,109.5,2026-03-09 12:00:00,110.0,移動停利,-0.457,-0.728,119.0,118.5
2359,空,回踩,2026-03-10 12:45:00,114.5,2026-03-10 13:25:00,115.5,收盤平倉,-0.873,-1.145,117.0,115.0
2359,空,回踩,2026-03-20 09:20:00,114.0,2026-03-20 09:30:00,116.5,移動停利,-2.193,-2.464,118.0,116.5
2359,空,回踩,2026-03-31 11:45:00,109.5,2026-03-31 13:25:00,108.5,收盤平倉,0.913,0.642,113.5,111.0
2359,空,回踩,2026-04-01 11:05:00,110.5,2026-04-01 13:25:00,110.5,收盤平倉,0.0,-0.271,112.5,110.5
2359,空,回踩,2026-04-02 09:20:00,110.0,2026-04-02 13:25:00,108.0,收盤平倉,1.818,1.547,111.5,110.5
2359,空,回踩,2026-04-10 09:30:00,111.5,2026-04-10 13:25:00,111.0,收盤平倉,0.448,0.177,114.5,112.0
2359,空,回踩,2026-04-13 09:25:00,108.0,2026-04-13 11:35:00,109.5,移動停利,-1.389,-1.66,111.5,110.5
2359,空,回踩,2026-04-27 09:25:00,105.5,2026-04-27 09:50:00,107.5,移動停利,-1.896,-2.167,110.0,108.5
