symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
2492,多,回踩,2026-02-04 09:20:00,131.0,2026-02-04 13:30:00,131.0,收盤平倉,0.0,-0.221,129.0,127.0
2492,多,回踩,2026-02-25 09:30:00,159.0,2026-02-25 09:40:00,156.5,移動停利,-1.572,-1.794,155.5,152.0
2492,多,回踩,2026-02-26 10:55:00,154.5,2026-02-26 13:30:00,156.0,收盤平倉,0.971,0.75,155.0,152.5
2492,多,回踩,2026-03-18 12:00:00,140.5,2026-03-18 13:30:00,141.5,收盤平倉,0.712,0.49,141.5,140.0
2492,多,回踩,2026-04-13 09:35:00,137.0,2026-04-13 10:15:00,137.0,移動停利,0.0,-0.221,136.0,133.0
2492,多,回踩,2026-04-14 09:25:00,140.5,2026-04-14 09:45:00,138.0,移動停利,-1.779,-2.001,140.0,137.0
2492,多,回踩,2026-04-15 13:20:00,144.0,2026-04-15 13:30:00,144.5,收盤平倉,0.347,0.126,144.0,142.5
2492,多,回踩,2026-04-16 09:30:00,153.0,2026-04-16 09:50:00,150.5,移動停利,-1.634,-1.855,142.0,138.5
2492,多,回踩,2026-04-17 09:15:00,151.5,2026-04-17 09:30:00,148.0,移動停利,-2.31,-2.531,151.0,148.5
2492,多,回踩,2026-05-05 09:35:00,147.5,2026-05-05 11:05:00,145.5,移動停利,-1.356,-1.577,142.5,137.0
2492,多,回踩,2026-05-07 09:35:00,157.5,2026-05-07 10:20:00,159.0,移動停利,0.952,0.731,149.5,146.5
2492,多,回踩,2026-05-08 09:30:00,162.5,2026-05-08 09:55:00,161.0,移動停利,-0.923,-1.144,161.0,155.5
2492,多,回踩,2026-05-11 10:00:00,171.5,2026-05-11 13:30:00,171.5,收盤平倉,0.0,-0.221,163.0,153.0
