symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
5443,空,回踩,2026-02-09 10:15:00,87.4,2026-02-09 13:25:00,86.7,收盤平倉,0.801,0.53,89.1,87.2
5443,空,回踩,2026-02-10 09:25:00,85.9,2026-02-10 13:25:00,84.6,收盤平倉,1.513,1.242,88.0,86.4
5443,空,回踩,2026-02-11 09:10:00,84.1,2026-02-11 13:25:00,84.0,收盤平倉,0.119,-0.152,85.3,84.4
5443,空,回踩,2026-02-23 09:15:00,83.4,2026-02-23 09:40:00,84.7,移動停利,-1.559,-1.83,85.0,83.6
5443,空,回踩,2026-04-07 10:40:00,101.0,2026-04-07 11:25:00,103.5,移動停利,-2.475,-2.746,103.0,101.0
5443,空,回踩,2026-04-28 12:40:00,111.5,2026-04-28 13:20:00,113.5,移動停利,-1.794,-2.065,114.0,111.0
