symbol,方向,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
6462,多,2025-01-03 11:45:00,171.0,2025-01-03 13:25:00,171.0,收盤平倉,0.0,-0.221,170.5,169.5
6462,多,2025-01-06 09:05:00,173.5,2025-01-06 13:25:00,172.0,收盤平倉,-0.865,-1.086,171.5,170.5
6462,多,2025-01-07 09:10:00,172.5,2025-01-07 11:00:00,170.5,EXIT,-1.159,-1.381,172.0,171.0
6462,多,2025-01-08 12:50:00,161.0,2025-01-08 13:25:00,161.5,收盤平倉,0.311,0.089,161.0,160.0
6462,多,2025-01-09 09:05:00,163.0,2025-01-09 10:05:00,160.23,移動停利,-1.699,-1.921,161.5,160.0
6462,多,2025-01-10 13:05:00,154.5,2025-01-10 13:25:00,154.0,收盤平倉,-0.324,-0.545,154.5,153.0
6462,多,2025-01-14 09:05:00,147.0,2025-01-14 09:35:00,147.49,移動停利,0.333,0.112,147.0,146.0
6462,多,2025-01-16 09:05:00,155.5,2025-01-16 13:25:00,155.0,收盤平倉,-0.322,-0.543,149.5,148.5
6462,多,2025-01-17 12:00:00,151.5,2025-01-17 13:10:00,150.0,EXIT,-0.99,-1.211,151.5,150.5
6462,多,2025-01-20 09:20:00,151.5,2025-01-20 13:25:00,153.5,收盤平倉,1.32,1.099,151.5,150.0
6462,多,2025-01-21 09:05:00,154.0,2025-01-21 11:00:00,151.5,EXIT,-1.623,-1.845,153.0,152.0
6462,多,2025-01-22 09:05:00,154.5,2025-01-22 13:25:00,153.0,收盤平倉,-0.971,-1.192,154.0,152.0
6462,多,2025-02-03 12:10:00,144.5,2025-02-03 13:25:00,146.5,收盤平倉,1.384,1.163,144.0,143.0
6462,多,2025-02-04 09:05:00,157.5,2025-02-04 09:20:00,156.8,移動停利,-0.444,-0.666,147.0,145.0
6462,多,2025-02-05 09:05:00,164.0,2025-02-05 11:20:00,161.21,移動停利,-1.701,-1.922,159.0,157.5
6462,多,2025-02-06 11:45:00,159.5,2025-02-06 13:25:00,159.5,收盤平倉,0.0,-0.221,159.5,158.5
6462,多,2025-02-07 09:25:00,160.5,2025-02-07 13:25:00,159.5,收盤平倉,-0.623,-0.844,160.0,157.0
6462,多,2025-02-10 12:05:00,157.0,2025-02-10 12:40:00,155.5,EXIT,-0.955,-1.177,157.0,156.0
6462,多,2025-02-11 11:00:00,151.0,2025-02-11 13:25:00,150.5,收盤平倉,-0.331,-0.552,151.0,149.5
6462,多,2025-02-12 09:05:00,154.0,2025-02-12 09:35:00,151.9,移動停利,-1.364,-1.585,151.0,150.0
6462,多,2025-02-13 10:05:00,149.5,2025-02-13 13:25:00,151.0,收盤平倉,1.003,0.782,149.5,147.0
6462,多,2025-02-14 10:00:00,151.5,2025-02-14 13:25:00,151.5,收盤平倉,0.0,-0.221,151.5,149.5
6462,多,2025-02-17 09:05:00,152.0,2025-02-17 13:25:00,153.5,收盤平倉,0.987,0.766,151.5,150.5
6462,多,2025-02-18 09:05:00,153.5,2025-02-18 09:15:00,154.35,移動停利,0.554,0.332,153.5,153.0
6462,多,2025-02-19 10:40:00,156.5,2025-02-19 13:25:00,157.5,收盤平倉,0.639,0.418,156.5,154.0
6462,多,2025-02-20 09:05:00,161.5,2025-02-20 09:40:00,161.7,移動停利,0.124,-0.097,157.5,156.0
6462,多,2025-02-21 11:45:00,154.0,2025-02-21 13:25:00,153.0,收盤平倉,-0.649,-0.871,154.0,153.0
6462,多,2025-02-24 10:55:00,154.0,2025-02-24 13:05:00,150.92,移動停利,-2.0,-2.221,152.5,151.0
6462,多,2025-02-26 12:00:00,145.0,2025-02-26 13:25:00,145.0,收盤平倉,0.0,-0.221,145.0,143.5
6462,多,2025-02-27 09:05:00,147.0,2025-02-27 10:05:00,144.06,移動停利,-2.0,-2.221,145.5,144.0
6462,多,2025-03-03 12:05:00,132.0,2025-03-03 13:25:00,131.0,收盤平倉,-0.758,-0.979,132.0,128.5
